NOMBRE,PROTEINAS_DIARIAS_G,CARBOHIDRATOS_DIARIOS_G,HIDRATACION_DIARIA_L,CALORIAS_DIARIAS,PLAN_NUTRICION
NICOLÁS ORSINI,142,382,3.3,2906,Equilibrado en macronutrientes
SERGI CANÓS,86,344,2.7,2960,"Alta proteína, moderado carbohidrato"
GASTÓN SUSO,101,299,3.4,3125,Enfoque en recuperación muscular
ÁLEX BERENGUER,142,220,4.5,3485,Equilibrado en macronutrientes
ILYA VAKHANIA,190,216,4.3,3397,"Alta proteína, moderado carbohidrato"
ALAN PATRICK,186,211,4.8,3003,Equilibrado en macronutrientes
KAUÊ,160,367,4.1,3396,Alto carbohidrato para rendimiento
GILLES DEWAELE,189,312,4.0,2785,Enfoque en recuperación muscular
OZAN TUFAN,129,321,2.9,3514,Alto carbohidrato para rendimiento
BRUNO ZAPELLI,129,380,2.5,3064,Equilibrado en macronutrientes
MARK MAMPASSI,187,395,3.7,3490,"Alta proteína, moderado carbohidrato"
JEREMY ANTONISSE,101,293,3.5,2612,Plan mediterráneo adaptado
DJANINY,140,241,3.8,2675,Enfoque en recuperación muscular
JEAN-KÉVIN DUVERNE,179,431,4.2,2547,Equilibrado en macronutrientes
TYRIQUE GEORGE,112,304,3.5,3780,Enfoque en recuperación muscular
MARCOS BOLADOS,158,230,4.3,2719,Alto carbohidrato para rendimiento
AXEL LINDAHL,173,409,2.7,3221,Enfoque en recuperación muscular
MOHAMED DARAMY,163,240,3.1,3647,Equilibrado en macronutrientes
SANTIAGO ARZAMENDIA,118,252,4.6,3545,Alto carbohidrato para rendimiento
ESTEBAN PAVEZ,185,378,3.5,2774,Equilibrado en macronutrientes
FACUNDO PÉREZ,132,330,3.1,3089,Equilibrado en macronutrientes
GABRIEL CARVALHO,89,399,2.9,2861,Equilibrado en macronutrientes
JONAS MARTIN,154,233,3.5,2990,"Alta proteína, moderado carbohidrato"
JUAN MANUEL JORGE,169,401,4.6,3704,Alto carbohidrato para rendimiento
LORENZO DE SILVESTRI,115,387,4.9,3822,Enfoque en recuperación muscular
MARIO STROEYKENS,170,325,3.1,2978,"Alta proteína, moderado carbohidrato"
JACK HINSHELWOOD,82,368,3.6,3911,Equilibrado en macronutrientes
EMIL BREIVIK,140,428,3.7,3433,Plan mediterráneo adaptado
NICOLÁS FUICA,135,390,4.9,3355,Alto carbohidrato para rendimiento
OUSMANE DIAO,170,253,4.5,3159,Equilibrado en macronutrientes
RANDAL KOLO MUANI,160,282,3.1,3369,"Alta proteína, moderado carbohidrato"
VALENTIN MIHĂILĂ,130,415,4.0,2788,Alto carbohidrato para rendimiento
ANSGAR KNAUFF,168,222,3.9,3933,Equilibrado en macronutrientes
BRAM LAGAE,98,356,4.8,3871,Equilibrado en macronutrientes
JOTA,151,399,4.2,2856,Alto carbohidrato para rendimiento
JESPER KARLSTRÖM,108,293,3.0,3983,"Alta proteína, moderado carbohidrato"
ÁLVARO CARRERAS,126,373,4.9,2659,Equilibrado en macronutrientes
LUTSHAREL GEERTRUIDA,121,351,3.9,3356,Enfoque en recuperación muscular
ILYA LANTRATOV,185,403,2.8,3416,Alto carbohidrato para rendimiento
NAZIM SANGARÉ,100,258,4.2,3150,Equilibrado en macronutrientes
DAMIÁN BATALLINI,166,406,4.4,3201,Enfoque en recuperación muscular
GÖKHAN AKKAN,105,422,3.7,2601,Alto carbohidrato para rendimiento
ANDREAW GRAVILLON,80,303,4.7,2808,Enfoque en recuperación muscular
AARÓN QUIRÓS,160,245,2.6,2835,"Alta proteína, moderado carbohidrato"
CAETANO,129,234,4.7,3591,Plan mediterráneo adaptado
REMY REES-DOTTIN,170,345,2.8,3695,Plan mediterráneo adaptado
DJIBRIL SOUMARÉ,183,289,4.0,2753,"Alta proteína, moderado carbohidrato"
JEREMIAH ST. JUSTE,109,413,3.3,2960,Plan mediterráneo adaptado
JORDAN AMAVI,105,425,2.6,3712,Plan mediterráneo adaptado
CANER ERKIN,80,218,3.9,3018,Alto carbohidrato para rendimiento
BUDU ZIVZIVADZE,97,324,4.2,3826,Equilibrado en macronutrientes
NAMPALYS MENDY,86,201,4.2,3571,"Alta proteína, moderado carbohidrato"
YOUSSOUPHA SANYANG,111,299,4.4,2749,Plan mediterráneo adaptado
JUNIOR MARABEL,175,346,3.0,3446,"Alta proteína, moderado carbohidrato"
VICENTE PIZARRO,127,203,3.6,3887,Plan mediterráneo adaptado
CHARILAOS CHARISIS,111,277,3.9,2848,Enfoque en recuperación muscular
LUCAS LISSENS,169,229,3.7,3863,Plan mediterráneo adaptado
FACUNDO ALTAMIRANO,150,206,2.5,2544,Enfoque en recuperación muscular
MILIANO JONATHANS,139,252,4.3,2546,Equilibrado en macronutrientes
GUILLAUME FRANÇOIS,145,428,4.2,3169,"Alta proteína, moderado carbohidrato"
LUCA RAFFIN,113,296,3.8,3625,Enfoque en recuperación muscular
RUNAR ESPEJORD,199,213,3.7,2614,Enfoque en recuperación muscular
MAXIMILIANO NOBLE,103,289,2.9,3051,Plan mediterráneo adaptado
TOMÁS GUIDARA,143,278,4.0,3590,"Alta proteína, moderado carbohidrato"
ISMAEL GARCÍA,160,412,4.9,2863,"Alta proteína, moderado carbohidrato"
GABRIEL CARABAJAL,150,354,4.6,3528,Equilibrado en macronutrientes
IÑIGO RUIZ DE GALARRETA,86,323,3.2,3520,Equilibrado en macronutrientes
SALEM AL-DAWSARI,81,219,4.6,3084,Equilibrado en macronutrientes
ANDREAS MURBECK,165,348,3.0,3214,"Alta proteína, moderado carbohidrato"
ULISES SÁNCHEZ,129,348,3.5,3631,Enfoque en recuperación muscular
FRANCO TORRES,186,358,4.0,3895,Enfoque en recuperación muscular
SAMUEL BELTRÁN,184,286,2.7,3278,"Alta proteína, moderado carbohidrato"
JOAQUÍN MOSQUEIRA,184,434,3.5,3370,Equilibrado en macronutrientes
ENIS DESTAN,191,202,4.1,3107,Equilibrado en macronutrientes
ILYA GAPONOV,196,222,4.0,3955,Enfoque en recuperación muscular
JONATHAN BUATU,156,224,3.3,3179,Alto carbohidrato para rendimiento
LARS CHRISTOPHER VILSVIK,160,324,3.3,3345,Plan mediterráneo adaptado
KIKO BONDOSO,115,432,4.6,3421,Equilibrado en macronutrientes
PEDRO MALHEIRO,171,296,4.0,3764,Plan mediterráneo adaptado
PIER BARRIOS,140,448,4.9,3079,Equilibrado en macronutrientes
NACHO FERRI,108,318,4.6,3501,Equilibrado en macronutrientes
GERÓNIMO RIVERA,169,356,4.2,3760,Alto carbohidrato para rendimiento
CHARLES,149,423,2.9,3573,Enfoque en recuperación muscular
SYDNEY VAN HOOIJDONK,167,208,2.6,3538,Enfoque en recuperación muscular
JORDY DE WIJS,191,291,4.4,2507,Alto carbohidrato para rendimiento
HAMAD AL-KHORAYEF,123,305,4.7,2999,Alto carbohidrato para rendimiento
SANOUSI AL-HAWSAWI,90,430,4.3,2627,Alto carbohidrato para rendimiento
FRANCO PETROLI,151,339,3.8,2609,Plan mediterráneo adaptado
BENJAMÍN GAZZOLO,119,297,3.2,3778,Enfoque en recuperación muscular
JONATAN LUCCA,145,204,4.6,2730,Enfoque en recuperación muscular
GABRIEL HACHEN,179,383,2.8,3082,Alto carbohidrato para rendimiento
CRISTIAN CUEVAS,145,394,4.8,2674,"Alta proteína, moderado carbohidrato"
FELIPE AUGUSTO,81,204,3.4,3327,"Alta proteína, moderado carbohidrato"
MARACÁS,155,418,4.3,2629,"Alta proteína, moderado carbohidrato"
ARNE ENGELS,120,371,4.4,3839,"Alta proteína, moderado carbohidrato"
MARCOS LÓPEZ,83,308,3.4,3634,"Alta proteína, moderado carbohidrato"
FERMÍN LÓPEZ,131,344,4.5,3956,"Alta proteína, moderado carbohidrato"
CASPER NIELSEN,107,420,3.9,3068,Enfoque en recuperación muscular
BIRGER MELING,87,298,2.8,2884,Alto carbohidrato para rendimiento
NADIEM AMIRI,123,421,5.0,2590,Enfoque en recuperación muscular
MILAN ROBBERECHTS,84,345,3.9,3333,Enfoque en recuperación muscular
ANTONÍN BARÁK,196,444,2.8,3639,Alto carbohidrato para rendimiento
SALVADOR AGRA,188,327,2.6,3118,Equilibrado en macronutrientes
FREDRIK GULBRANDSEN,102,351,2.7,3772,Enfoque en recuperación muscular
MAGNUS WOLFF EIKREM,129,207,4.3,3157,"Alta proteína, moderado carbohidrato"
MAÏ TRAORÉ,151,312,4.8,3816,Enfoque en recuperación muscular
SOLTMURAD BAKAEV,169,333,4.4,3560,Enfoque en recuperación muscular
RYAN THOMAS,114,381,3.9,3579,Alto carbohidrato para rendimiento
VIRGIL VAN DIJK,105,416,2.6,3130,"Alta proteína, moderado carbohidrato"
FRANCIS AMUZU,119,307,3.0,2529,"Alta proteína, moderado carbohidrato"
TADEO ALLENDE,174,293,2.9,2723,Plan mediterráneo adaptado
JUAN CHRISTIAN,182,263,2.8,3789,Enfoque en recuperación muscular
LUDVIG FRITZSON,108,308,4.0,3516,"Alta proteína, moderado carbohidrato"
RYAN GRAVENBERCH,182,353,3.2,3211,Enfoque en recuperación muscular
PEDRO ROCHA,148,426,4.4,3497,Equilibrado en macronutrientes
IGNACIO PEREIRA,88,249,4.3,2585,Plan mediterráneo adaptado
LUCAS BASSADONE,92,254,3.6,2898,"Alta proteína, moderado carbohidrato"
MARCELO MIÑO,90,238,3.0,2875,Alto carbohidrato para rendimiento
JAN-CARLO SIMIĆ,177,392,2.8,2944,Enfoque en recuperación muscular
KACPER KOSTORZ,133,268,2.7,2931,Alto carbohidrato para rendimiento
JOÃO NEVES,112,441,2.9,3888,"Alta proteína, moderado carbohidrato"
MARKO ILIC,144,245,3.0,2926,Enfoque en recuperación muscular
EMANUEL HERNÁNDEZ,124,291,4.2,2882,Alto carbohidrato para rendimiento
EIRIK HESTAD,176,209,2.6,3366,Plan mediterráneo adaptado
JONATHAN GRADIT,108,342,3.8,3626,Alto carbohidrato para rendimiento
ERICK,179,415,4.6,2992,"Alta proteína, moderado carbohidrato"
DAIRO PEÑA,86,372,3.0,3931,"Alta proteína, moderado carbohidrato"
NOAH MBAMBA,153,213,3.9,2798,Equilibrado en macronutrientes
MATEO CÁCERES,157,416,4.0,3690,Plan mediterráneo adaptado
GIFT LINKS,179,255,3.5,3461,Equilibrado en macronutrientes
JAVI MUÑOZ,117,246,3.1,3135,Alto carbohidrato para rendimiento
ADAM VENDELBO,116,418,3.2,3749,Alto carbohidrato para rendimiento
DAAN ROTS,92,372,3.0,2783,"Alta proteína, moderado carbohidrato"
NICOLÒ BARELLA,119,368,2.6,2586,Alto carbohidrato para rendimiento
MOUSSA DIARRA,182,403,4.6,3163,"Alta proteína, moderado carbohidrato"
SENNA MIANGUE,184,296,4.9,3931,Equilibrado en macronutrientes
THIAGO FERNÁNDEZ,196,224,3.4,3528,Equilibrado en macronutrientes
DANNY NAMASO,100,379,3.0,3763,Alto carbohidrato para rendimiento
VITO HAMMERSHÖY-MISTRATI,100,249,4.7,3213,Alto carbohidrato para rendimiento
RAFAEL TOLÓI,110,326,3.6,2929,Alto carbohidrato para rendimiento
JOSIP STANISIC,106,281,2.6,3877,Enfoque en recuperación muscular
JUMA BAH,108,378,3.7,3427,Enfoque en recuperación muscular
RODRIGO BATTAGLIA,92,255,3.9,3159,Equilibrado en macronutrientes
HAMZA BARRY,192,328,3.2,2746,Alto carbohidrato para rendimiento
GAMID AGALAROV,139,330,4.7,3478,"Alta proteína, moderado carbohidrato"
YERKO LEIVA,165,241,3.8,2625,Equilibrado en macronutrientes
FELIPE MASSRI,109,441,4.1,2545,Plan mediterráneo adaptado
ISAÍAS DELPUPO,116,386,4.7,3652,"Alta proteína, moderado carbohidrato"
ALEXANDER MEYER,171,232,2.6,3886,Alto carbohidrato para rendimiento
GABRIEL ALANÍS,168,393,4.7,3213,Equilibrado en macronutrientes
NAHUEL ARIAS,198,367,4.8,3362,Equilibrado en macronutrientes
SONDRE BJØRSHOL,139,222,4.0,3838,Equilibrado en macronutrientes
JOVAN MANEV,130,361,2.8,3696,Plan mediterráneo adaptado
ALAN SOSA,163,314,5.0,3116,Plan mediterráneo adaptado
JAVIER QUIÑONES,177,412,3.7,2965,"Alta proteína, moderado carbohidrato"
AGUSTÍN CHOPITEA,129,228,4.1,3250,"Alta proteína, moderado carbohidrato"
SALIH ÖZCAN,195,244,4.7,3717,Enfoque en recuperación muscular
ERLING KNUDTZON,98,446,4.9,2717,"Alta proteína, moderado carbohidrato"
LUCAS CARRIZO,164,373,3.2,2523,Plan mediterráneo adaptado
JOHANNES EGGESTEIN,156,216,5.0,3975,Plan mediterráneo adaptado
JEREMIE FRIMPONG,186,348,2.7,2564,Equilibrado en macronutrientes
BRIAN OLIVÁN,159,386,3.3,3861,"Alta proteína, moderado carbohidrato"
RICARDO MANGAS,191,201,4.0,3405,"Alta proteína, moderado carbohidrato"
FAROUCK ADEKAMI,185,398,3.7,2998,Alto carbohidrato para rendimiento
ALEJANDRO MARQUÉS,198,342,2.7,3017,Plan mediterráneo adaptado
ELIAS HOFF MELKERSEN,154,382,3.7,2980,Enfoque en recuperación muscular
HARRY TOFFOLO,137,374,2.5,3372,"Alta proteína, moderado carbohidrato"
MARTIN MINCHEV,193,236,2.7,3598,Enfoque en recuperación muscular
JORGE ORTIZ,102,338,4.6,3168,Alto carbohidrato para rendimiento
GUSTAVO HENRIQUE,139,435,3.6,2704,Enfoque en recuperación muscular
ANDREAS BJELLAND,163,427,3.7,3388,"Alta proteína, moderado carbohidrato"
MIKEL GOGORZA,154,269,3.5,2953,Enfoque en recuperación muscular
TARIK ÇETIN,80,213,3.7,3819,Equilibrado en macronutrientes
OSKAR FALLENIUS,136,318,2.9,2929,Equilibrado en macronutrientes
ISSIAGA SYLLA,177,368,3.0,3719,Alto carbohidrato para rendimiento
GUSTAVO ASSUNÇÃO,158,406,4.3,2734,Enfoque en recuperación muscular
GUILLERMO DE LOS SANTOS,138,437,3.0,3182,Alto carbohidrato para rendimiento
BRUNO LEYES,155,345,3.9,2960,Plan mediterráneo adaptado
JONAS LÖSSL,86,267,4.3,2684,Plan mediterráneo adaptado
LUUK WOUTERS,91,391,3.8,3980,Enfoque en recuperación muscular
LEANDRO CABRERA,120,236,4.2,2701,Plan mediterráneo adaptado
JOVANE CABRAL,172,236,2.7,2882,Enfoque en recuperación muscular
GUSTAVO BOU,178,431,3.4,2771,Alto carbohidrato para rendimiento
OLE POHLMANN,192,261,2.5,3920,"Alta proteína, moderado carbohidrato"
SEBASTIAN JARL,162,211,5.0,3336,"Alta proteína, moderado carbohidrato"
PAULO OLIVEIRA,174,306,4.7,2742,Alto carbohidrato para rendimiento
DIEGO GONZÁLEZ,81,372,2.7,3907,"Alta proteína, moderado carbohidrato"
JUBRIL ADEDEJI,120,252,3.1,3957,"Alta proteína, moderado carbohidrato"
TCHOCA,181,328,3.6,3221,Equilibrado en macronutrientes
CAMUTANGA,194,363,4.6,3216,Plan mediterráneo adaptado
LUCA CALDIROLA,114,336,3.7,2690,Plan mediterráneo adaptado
ALEXSANDRO,154,309,2.5,3810,Alto carbohidrato para rendimiento
JUAN MANUEL INSAURRALDE,85,427,3.9,3353,"Alta proteína, moderado carbohidrato"
FRANK MAGRI,115,266,5.0,2829,"Alta proteína, moderado carbohidrato"
ADRIEL,100,324,3.0,2973,Plan mediterráneo adaptado
ARDA ÖZÇIMEN,93,270,3.4,3544,Enfoque en recuperación muscular
SEBASTIÁN PÉREZ,117,217,2.8,3638,Enfoque en recuperación muscular
MEHDI BOURABIA,146,392,4.9,3103,Enfoque en recuperación muscular
ERAY ÖZBEK,192,259,4.0,3957,Plan mediterráneo adaptado
DAVID ANKEYE,139,287,3.2,3981,Alto carbohidrato para rendimiento
GUZMÁN PEREIRA,89,394,4.5,3203,Enfoque en recuperación muscular
BREEL EMBOLO,190,241,2.6,2568,Enfoque en recuperación muscular
MAILSON,142,247,4.7,2934,Alto carbohidrato para rendimiento
VICTOR BONIFACE,125,226,3.0,2774,Enfoque en recuperación muscular
YURI ALBERTO,187,258,4.2,2627,Plan mediterráneo adaptado
JUSTIN HOOGMA,92,261,3.7,2580,Plan mediterráneo adaptado
KRISTIAN KIRKEGAARD,139,439,3.3,2938,Plan mediterráneo adaptado
DENIS MAKAROV,89,389,3.7,3013,Plan mediterráneo adaptado
BEÑAT PRADOS,92,259,4.7,2521,"Alta proteína, moderado carbohidrato"
RUBEN AGUILAR,173,272,4.2,3812,"Alta proteína, moderado carbohidrato"
LASSO COULIBALY,149,310,3.9,3657,Plan mediterráneo adaptado
MARC DAL HENDE,134,427,3.9,2620,Enfoque en recuperación muscular
NICOLÒ ZANIOLO,165,437,4.3,3269,Plan mediterráneo adaptado
ADRIÁN ARNU,88,378,4.0,3359,Plan mediterráneo adaptado
SERGI ROBERTO,160,230,3.6,3325,"Alta proteína, moderado carbohidrato"
CRISTIAN COLMÁN,120,374,4.0,2647,"Alta proteína, moderado carbohidrato"
JONATHAN CAFU,179,367,3.5,3877,Plan mediterráneo adaptado
MERLIN RÖHL,179,401,2.5,2516,Enfoque en recuperación muscular
VIKTOR CLAESSON,102,271,3.6,3861,"Alta proteína, moderado carbohidrato"
VACLAV JURECKA,90,429,4.7,2548,Plan mediterráneo adaptado
FERREIRINHA,103,245,3.8,3574,"Alta proteína, moderado carbohidrato"
AGUSTIN BALDI,105,422,2.5,3120,"Alta proteína, moderado carbohidrato"
FACUNDO MATER,132,371,3.6,2778,Enfoque en recuperación muscular
ABDELHAMID SABIRI,129,421,3.6,3313,Enfoque en recuperación muscular
JIZZ HORNKAMP,126,307,3.0,3774,Equilibrado en macronutrientes
PATRICK MAINKA,125,250,2.7,2753,Enfoque en recuperación muscular
WILLY KUMADO,132,383,3.9,3779,Alto carbohidrato para rendimiento
GABRIEL SILVA,125,335,3.3,3396,Alto carbohidrato para rendimiento
ARTHUR CAÍKE,120,330,3.8,3910,Plan mediterráneo adaptado
ISAK HELSTAD AMUNDSEN,134,420,3.1,2513,Plan mediterráneo adaptado
YAIR MENA,100,253,3.9,3070,Enfoque en recuperación muscular
BRAYAN CORTÉS,129,238,4.0,3457,Plan mediterráneo adaptado
AYLTON BOA MORTE,113,325,3.3,3675,Equilibrado en macronutrientes
JARELL QUANSAH,126,321,2.8,2946,Equilibrado en macronutrientes
KANDET DIAWARA,190,210,4.6,3326,Enfoque en recuperación muscular
ÁLEX BAENA,179,287,4.3,3568,Enfoque en recuperación muscular
ERIC MEZA,171,321,3.1,3644,Alto carbohidrato para rendimiento
GABRIEL INOCÊNCIO,133,327,4.0,3186,Plan mediterráneo adaptado
AMARA CONDÉ,96,382,3.4,3940,Equilibrado en macronutrientes
ÁLVARO PASCUAL,169,285,4.1,2524,Plan mediterráneo adaptado
CRISTIANO BIRAGHI,196,284,3.1,2771,Equilibrado en macronutrientes
YIĞIT ALI BUZ,162,343,3.5,3500,Enfoque en recuperación muscular
RANIELE,166,272,3.4,3235,Alto carbohidrato para rendimiento
ADAM GABRIEL,173,227,3.5,2803,"Alta proteína, moderado carbohidrato"
SUWAILEM AL-MANHALI,82,248,3.2,3412,Enfoque en recuperación muscular
ADAM BUKSA,90,402,3.8,3642,"Alta proteína, moderado carbohidrato"
NOA LANG,181,244,3.8,3390,Alto carbohidrato para rendimiento
JAMES NDJEUNGOUE,172,373,3.6,3461,Plan mediterráneo adaptado
KEKE TOPP,102,232,3.7,3744,Equilibrado en macronutrientes
SANTIAGO VIERA,111,347,4.3,2737,Enfoque en recuperación muscular
SOLOMON OWUSU,187,429,4.0,2924,Plan mediterráneo adaptado
COLIN DAGBA,183,205,3.0,2860,Equilibrado en macronutrientes
YANN KARAMOH,127,437,3.3,3598,Enfoque en recuperación muscular
TOMAS SUSLOV,166,279,4.2,2625,Alto carbohidrato para rendimiento
DINKO HORKAS,115,239,4.2,3967,Equilibrado en macronutrientes
JUSTIN-NOËL KALUMBA,189,316,4.9,3805,Equilibrado en macronutrientes
JOÃO NOVAIS,193,355,4.2,3427,Plan mediterráneo adaptado
VINICIUS JUNIOR,81,242,3.1,2621,Enfoque en recuperación muscular
RIZVAN UTSIEV,182,231,4.6,2635,Equilibrado en macronutrientes
SEBASTIÁN PEREIRA,108,372,4.5,2505,Alto carbohidrato para rendimiento
SZYMON ROGUSKI,151,444,4.0,3466,"Alta proteína, moderado carbohidrato"
JULIO ENCISO,153,316,4.6,3293,"Alta proteína, moderado carbohidrato"
MIRKO MARIĆ,196,259,3.5,3320,Alto carbohidrato para rendimiento
LISANDRO LÓPEZ,169,447,3.5,3088,Enfoque en recuperación muscular
HLYNUR FREYR KARLSSON,178,254,4.6,2733,Alto carbohidrato para rendimiento
VALDEMAR MØLLER,192,428,3.9,2558,Equilibrado en macronutrientes
IMAM JAGNE,83,296,4.6,2535,Equilibrado en macronutrientes
HERNÁN GALÍNDEZ,152,377,3.6,3952,Enfoque en recuperación muscular
ARIEL URIBE,139,424,3.3,3376,Plan mediterráneo adaptado
MARCUS COCO,185,436,3.7,2570,Enfoque en recuperación muscular
ARKAITZ MARIEZKURRENA,84,412,3.9,3531,Alto carbohidrato para rendimiento
BERAT DJIMSITI,126,393,2.6,2586,Plan mediterráneo adaptado
BÅRD FINNE,153,285,4.1,3575,Enfoque en recuperación muscular
ISAK SSEWANKAMBO,117,206,3.1,3234,"Alta proteína, moderado carbohidrato"
IGOR KALININ,168,412,3.7,3982,Equilibrado en macronutrientes
LUCAS ACOSTA,83,371,4.9,3638,Alto carbohidrato para rendimiento
STEFAN BELL,196,222,4.9,3603,"Alta proteína, moderado carbohidrato"
VICTOR UDOH,116,359,3.2,2510,Alto carbohidrato para rendimiento
IVÁN LEGUIZAMÓN (SUB),100,297,3.2,3917,Enfoque en recuperación muscular
TOMÁS ARAÚJO,197,423,4.8,3350,Alto carbohidrato para rendimiento
ALEX LINDELÖV,163,213,4.2,3502,"Alta proteína, moderado carbohidrato"
CENGIZ DEMIR,86,253,4.6,3379,Equilibrado en macronutrientes
COLIN COOSEMANS,177,218,3.4,3334,Plan mediterráneo adaptado
IBRAHIMA SISSOKO,146,369,3.1,2763,Plan mediterráneo adaptado
MASSIMO BRUNO,143,418,3.7,2759,Equilibrado en macronutrientes
MAGUINHO,98,449,2.7,3133,Plan mediterráneo adaptado
ABDULLAH AL-KHAIBARI,121,366,3.7,3603,"Alta proteína, moderado carbohidrato"
WILLIAM SALIBA,96,319,3.4,3948,Alto carbohidrato para rendimiento
RICARDO PEPI,90,359,4.7,3260,"Alta proteína, moderado carbohidrato"
MARAT BOKOEV,171,238,2.8,3760,Alto carbohidrato para rendimiento
HASSANE KAMARA,95,266,4.7,3695,Enfoque en recuperación muscular
ANTON ZINKOVSKIY,110,235,3.9,3909,Equilibrado en macronutrientes
ADAM KAIED,86,327,4.7,2727,Alto carbohidrato para rendimiento
SINALY DIOMANDÉ,158,362,4.8,2691,Alto carbohidrato para rendimiento
BEKIR TURAÇ BÖKE,154,288,4.1,3279,Alto carbohidrato para rendimiento
ASSANE DIAO,183,375,5.0,2743,Alto carbohidrato para rendimiento
GARY KAGELMACHER,132,250,4.1,3363,Enfoque en recuperación muscular
KEVIN HÖÖG JANSSON,146,205,2.8,3137,Plan mediterráneo adaptado
THIAGO PONCE,139,299,4.5,3675,Enfoque en recuperación muscular
ÓSCAR PEREA,95,385,3.0,2844,"Alta proteína, moderado carbohidrato"
DAN BURN,191,440,2.6,3544,Alto carbohidrato para rendimiento
TAHA OSMAN ÖZMERT,82,224,3.7,2843,Enfoque en recuperación muscular
EDUARDO CAMAVINGA,117,271,3.3,3064,Enfoque en recuperación muscular
PABLO GOZÁLBEZ,190,288,3.0,3372,Alto carbohidrato para rendimiento
OSCAR UDDENÄS,167,289,3.4,3558,Alto carbohidrato para rendimiento
SOKOL CIKALLESHI,87,320,4.8,2812,Enfoque en recuperación muscular
MATEO FLORES,157,442,2.8,3515,Equilibrado en macronutrientes
ANDRÉ SILVA,86,429,3.3,3169,Plan mediterráneo adaptado
MADS THYCHOSEN,124,312,3.0,2605,Enfoque en recuperación muscular
SAMUEL LUCERO,89,380,2.9,2651,"Alta proteína, moderado carbohidrato"
MATÍAS ROSALES,151,408,4.3,2807,Equilibrado en macronutrientes
DIXON PEREIRA,138,223,3.8,3485,"Alta proteína, moderado carbohidrato"
ODSONNE EDOUARD,98,433,3.6,3955,Enfoque en recuperación muscular
ADRIAN BECK,133,283,4.4,3662,"Alta proteína, moderado carbohidrato"
DUDU,127,236,4.6,3970,Enfoque en recuperación muscular
GAËTAN LABORDE,176,308,3.6,3178,Equilibrado en macronutrientes
ELLYES SKHIRI,181,342,3.9,3220,Equilibrado en macronutrientes
KAUÃ ELIAS,123,287,3.6,3166,Equilibrado en macronutrientes
BENCHIMOL,155,200,4.6,2626,Enfoque en recuperación muscular
OLIVER PROVSTGAARD,144,433,3.1,3566,"Alta proteína, moderado carbohidrato"
NAHUEL BARRIOS,163,313,4.7,2734,Plan mediterráneo adaptado
THIBO BAETEN,198,341,4.6,2683,Alto carbohidrato para rendimiento
ROBERT MEJÍA,80,266,4.0,3541,"Alta proteína, moderado carbohidrato"
ÁLEX MUÑOZ,98,331,3.0,2811,"Alta proteína, moderado carbohidrato"
JONATHAN BURKARDT,131,274,2.6,3624,Alto carbohidrato para rendimiento
EDIMILSON FERNANDES,155,319,3.9,3625,Enfoque en recuperación muscular
NATHAN COLLINS,196,423,4.5,2702,Enfoque en recuperación muscular
GIOVANNI LEONI,83,285,2.7,2593,Enfoque en recuperación muscular
LEANDRO PAREDES,179,438,3.6,3924,Equilibrado en macronutrientes
SORBA THOMAS,153,368,3.9,3762,"Alta proteína, moderado carbohidrato"
JONATÁS NORO,125,213,4.9,3395,Enfoque en recuperación muscular
KILLIAN SARDELLA,152,376,4.2,2519,Equilibrado en macronutrientes
MARTÍN PARRA,139,215,4.1,3156,"Alta proteína, moderado carbohidrato"
ENRIQUE ETCHEVERRY,90,201,2.6,3774,Plan mediterráneo adaptado
ANTONIO BLANCO,114,332,4.3,2746,Alto carbohidrato para rendimiento
RENZO BACCHIA,153,278,4.2,3039,Plan mediterráneo adaptado
TAMÁS NIKITSCHER,148,401,4.4,3398,Enfoque en recuperación muscular
JONATHAN DE IRASTORZA,136,349,4.8,3702,Plan mediterráneo adaptado
MOHAMED IHATTAREN,111,312,3.2,2722,"Alta proteína, moderado carbohidrato"
GAIZKA LARRAZABAL,88,327,3.8,3609,Enfoque en recuperación muscular
MIGUEL NAVARRO,135,392,2.9,3989,Equilibrado en macronutrientes
MARKUS ANDRÉ KAASA,98,215,4.5,2590,Alto carbohidrato para rendimiento
WALLACE YAN,189,395,4.6,3319,"Alta proteína, moderado carbohidrato"
NIELS NKOUNKOU,83,371,3.6,3120,Plan mediterráneo adaptado
ADRIÁN,107,400,4.9,3362,Alto carbohidrato para rendimiento
JESPER SVENUNGSEN SKAU,149,308,3.7,3576,Equilibrado en macronutrientes
MUHAMMED ŞENGEZER,192,345,4.0,3346,Alto carbohidrato para rendimiento
ATAKAN KARAZOR,176,383,2.8,3837,Equilibrado en macronutrientes
SERGIO QUIROGA,109,242,2.8,2842,Alto carbohidrato para rendimiento
MARCO IACOBELLIS,158,412,3.9,3842,Alto carbohidrato para rendimiento
ANTHONY DENNIS,102,233,3.6,3993,Equilibrado en macronutrientes
ÁLEX BALBOA,180,316,4.3,3188,"Alta proteína, moderado carbohidrato"
MILTON DELGADO,189,430,3.3,2970,Enfoque en recuperación muscular
ANTONIO SÁNCHEZ,158,327,4.8,3716,Alto carbohidrato para rendimiento
EMANUEL CECCHINI,98,444,2.6,3658,Alto carbohidrato para rendimiento
KENAN BILALOVIC,127,261,4.0,2955,"Alta proteína, moderado carbohidrato"
MATS PANNEWIG,96,444,3.4,2550,Enfoque en recuperación muscular
